rid,unikey,ckey,subkey,pkey,figs,type,nkey,taxon,abbrev_taxon,fullname,subgen,genus,family,epithets,keystr,ctxt,fkey,sex,docn,kcnt,page
18,Acartia_05b,5b,b,,,0,10,,,,,Acartia,Acartiidae,,Male. Right leg 5 exopod segment 1 not expanded at inner distal border; left leg 5 basis with one long cylindrical process,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_5b"">5b</mark>&nbsp;Male. Right leg 5 exopod segment 1 not expanded at inner distal border; left leg 5 basis with one long cylindrical process</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_10a"">10</a></span></p></div>",,,1,11,1
21,Acartia_06a,6a,a,5a,"23,24",1,,Acartia longiremis,A.  longiremis,"Acartia (Acartiura) longiremis (Lilljeborg, 1853)",Acartiura,Acartia,Acartiidae,longiremis,Anal somite spinous; posterior prosome with 1 or more very large spines; genital double-somite and urosomite 2 with surface spinules as well as posterior spines,"<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Acartia_6a"">6a</mark>&nbsp;(<a href=""#key_Acartia_5a"">5a</a>)&nbsp;Anal somite spinous; posterior prosome with 1 or more very large spines; genital double-somite and urosomite 2 with surface spinules as well as posterior spines</span><span class=""keycol""><mark id=""taxon_Acartia_longiremis""><em><a href=""#figs_Acartia_longiremis"">Acartia longiremis</a></em></mark></span></p></div>","Acartia_longiremis_01,Acartia_longiremis_02",female,1,12,1
22,Acartia_06b,6b,b,,,0,7,,,,,Acartia,Acartiidae,,Anal somite naked or with very fine spinules,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_6b"">6b</mark>&nbsp;Anal somite naked or with very fine spinules</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_7a"">7</a></span></p></div>",,,1,13,1
24,Acartia_07a,7a,a,6b,,0,8,,,,,Acartia,Acartiidae,,Genital swelling placed anteriorly on somite in lateral view,"<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Acartia_7a"">7a</mark>&nbsp;(<a href=""#key_Acartia_6b"">6b</a>)&nbsp;Genital swelling placed anteriorly on somite in lateral view</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_8a"">8</a></span></p></div>",,,1,14,1
25,Acartia_07b,7b,b,,,0,9,,,,,Acartia,Acartiidae,,Genital swelling approximately central on somite in lateral view,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_7b"">7b</mark>&nbsp;Genital swelling approximately central on somite in lateral view</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_9a"">9</a></span></p></div>",,,1,15,1
27,Acartia_08a,8a,a,7a,"17,18",1,,Acartia clausi,A.  clausi,"Acartia (Acartiura) clausi (Giesbrecht, 1889)",Acartiura,Acartia,Acartiidae,clausi,"Posterior prosome bearing spines. Leg 5 terminal spine thick, length of caudal ramus nearly twice its width","<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Acartia_8a"">8a</mark>&nbsp;(<a href=""#key_Acartia_7a"">7a</a>)&nbsp;Posterior prosome bearing spines. Leg 5 terminal spine thick, length of caudal ramus nearly twice its width</span><span class=""keycol""><mark id=""taxon_Acartia_clausi""><em><a href=""#figs_Acartia_clausi"">Acartia clausi</a></em></mark></span></p></div>","Acartia_clausi_01,Acartia_clausi_02",female,1,16,1
28,Acartia_08b,8b,b,,"25,26",1,,Acartia omorii,A.  omorii,"Acartia (Acartiura) omorii (Bradford, 1976 (F,M)",Acartiura,Acartia,Acartiidae,omorii,Posterior prosome naked or with ventral hairs. Urosomite 2 naked or with 1-3 posterodorsal blunt teeth. Caudal ramus length subequal to width,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_8b"">8b</mark>&nbsp;Posterior prosome naked or with ventral hairs. Urosomite 2 naked or with 1-3 posterodorsal blunt teeth. Caudal ramus length subequal to width</span><span class=""keycol""><mark id=""taxon_Acartia_omorii_female""><em><a href=""#figs_Acartia_omorii"">Acartia omorii</a></em></mark></span></p></div>","Acartia_omorii_01,Acartia_omorii_02",female,1,17,1
30,Acartia_09a,9a,a,7b,22,1,,Acartia hudsonica,A.  hudsonica,"Acartia (Acartiura) hudsonica (Pinhey, 1926)",Acartiura,Acartia,Acartiidae,hudsonica,"Prosome naked posterodorsally but with posterior hairs, length and width of caudal ramus subequal","<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Acartia_9a"">9a</mark>&nbsp;(<a href=""#key_Acartia_7b"">7b</a>)&nbsp;Prosome naked posterodorsally but with posterior hairs, length and width of caudal ramus subequal</span><span class=""keycol""><mark id=""taxon_Acartia_hudsonica_female""><em><a href=""#figs_Acartia_hudsonica"">Acartia hudsonica</a></em></mark></span></p></div>",Acartia_hudsonica_02,female,1,18,1
31,Acartia_09b,9b,b,,"19,20",1,,Acartia hongi,A.  hongi,"Acartia (Acartiura) hongi (Soh & Suh, 2000)",Acartiura,Acartia,Acartiidae,hongi,"Prosome posterodorsally with a pair of setules and a row of spinules, length of caudal ramus nearly twice width","<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_9b"">9b</mark>&nbsp;Prosome posterodorsally with a pair of setules and a row of spinules, length of caudal ramus nearly twice width</span><span class=""keycol""><mark id=""taxon_Acartia_hongi_female""><em><a href=""#figs_Acartia_hongi"">Acartia hongi</a></em></mark></span></p></div>","Acartia_hongi_01,Acartia_hongi_02",female,1,19,1
33,Acartia_10a,10a,a,5b,,0,11,,,,,Acartia,Acartiidae,,Right and left leg 5 more or less of similar size,"<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Acartia_10a"">10a</mark>&nbsp;(<a href=""#key_Acartia_5b"">5b</a>)&nbsp;Right and left leg 5 more or less of similar size</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_11a"">11</a></span></p></div>",,,1,20,1
34,Acartia_10b,10b,b,,,0,12,,,,,Acartia,Acartiidae,,Right leg 5 significantly longer than left leg 5,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_10b"">10b</mark>&nbsp;Right leg 5 significantly longer than left leg 5</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_12a"">12</a></span></p></div>",,,1,21,1
36,Acartia_11a,11a,a,10a,21,1,,Acartia hudsonica,A.  hudsonica,"Acartia (Acartiura) hudsonica (Pinhey, 1926)",Acartiura,Acartia,Acartiidae,hudsonica,Right leg 5 exopod segment 1 with 1 protuberance on distal inner margin. Left leg 5 exopod segment 1 inner margin with a cleft at distal third,"<div class=""kblk""><p class=""leader indent4""><span class=""keycol""><mark id=""key_Acartia_11a"">11a</mark>&nbsp;(<a href=""#key_Acartia_10a"">10a</a>)&nbsp;Right leg 5 exopod segment 1 with 1 protuberance on distal inner margin. Left leg 5 exopod segment 1 inner margin with a cleft at distal third</span><span class=""keycol""><mark id=""taxon_Acartia_hudsonica""><em><a href=""#figs_Acartia_hudsonica"">Acartia hudsonica</a></em></mark></span></p></div>",Acartia_hudsonica_01,male,1,22,1
38,Acartia_11b,11b,b,,"23,24",1,,Acartia longiremis,A.  longiremis,"Acartia (Acartiura) longiremis (Lilljeborg, 1853)",Acartiura,Acartia,Acartiidae,longiremis,Right leg 5 exopod segment 1 with 2 protuberances on inner margin. Left leg 5 exopod segment 1 inner margin nearly straight,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_11b"">11b</mark>&nbsp;Right leg 5 exopod segment 1 with 2 protuberances on inner margin. Left leg 5 exopod segment 1 inner margin nearly straight</span><span class=""keycol""><mark id=""taxon_Acartia_longiremis_male""><em><a href=""#figs_Acartia_longiremis"">Acartia longiremis</a></em></mark></span></p></div>","Acartia_longiremis_01,Acartia_longiremis_02",male,1,23,2
41,Acartia_12a,12a,a,10b,"17,18",1,,Acartia clausi,A.  clausi,"Acartia (Acartiura) clausi (Giesbrecht, 1889)",Acartiura,Acartia,Acartiidae,clausi,Right leg 5 exopod segment 1 with a rounded inner protuberance on distal half inner margin; exopod segment 3 smoothly curved,"<div class=""kblk""><p class=""leader indent4""><span class=""keycol""><mark id=""key_Acartia_12a"">12a</mark>&nbsp;(<a href=""#key_Acartia_10b"">10b</a>)&nbsp;Right leg 5 exopod segment 1 with a rounded inner protuberance on distal half inner margin; exopod segment 3 smoothly curved</span><span class=""keycol""><mark id=""taxon_Acartia_clausi_male""><em><a href=""#figs_Acartia_clausi"">Acartia clausi</a></em></mark></span></p></div>","Acartia_clausi_01,Acartia_clausi_02",male,1,24,2
42,Acartia_12b,12b,b,,,0,13,,,,,Acartia,Acartiidae,,Right leg 5 exopod segment 1 without inner protuberance or with angular protuberance; exopod segment 3 bent rectangularly,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_12b"">12b</mark>&nbsp;Right leg 5 exopod segment 1 without inner protuberance or with angular protuberance; exopod segment 3 bent rectangularly</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_13a"">13</a></span></p></div>",,,1,25,2
44,Acartia_13a,13a,a,12b,"25,26",1,,Acartia omorii,A.  omorii,"Acartia (Acartiura) omorii (Bradford, 1976 (F,M)",Acartiura,Acartia,Acartiidae,omorii,"Right leg 5: exopod segment 1, distal inner margin expanded forming a triangular process; exopod segment 2, protuberance of inner margin bilobular","<div class=""kblk""><p class=""leader indent4""><span class=""keycol""><mark id=""key_Acartia_13a"">13a</mark>&nbsp;(<a href=""#key_Acartia_12b"">12b</a>)&nbsp;Right leg 5: exopod segment 1, distal inner margin expanded forming a triangular process; exopod segment 2, protuberance of inner margin bilobular</span><span class=""keycol""><mark id=""taxon_Acartia_omorii""><em><a href=""#figs_Acartia_omorii"">Acartia omorii</a></em></mark></span></p></div>","Acartia_omorii_01,Acartia_omorii_02",male,1,26,2
46,Acartia_13b,13b,b,,"19,20",1,,Acartia hongi,A.  hongi,"Acartia (Acartiura) hongi (Soh & Suh, 2000)",Acartiura,Acartia,Acartiidae,hongi,"Right leg 5: exopod segment 1, distal inner margin slightly bulging; exopod segment 2, protuberance of inner margin rounded","<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_13b"">13b</mark>&nbsp;Right leg 5: exopod segment 1, distal inner margin slightly bulging; exopod segment 2, protuberance of inner margin rounded</span><span class=""keycol""><mark id=""taxon_Acartia_hongi_male""><em><a href=""#figs_Acartia_hongi"">Acartia hongi</a></em></mark></span></p></div>","Acartia_hongi_01,Acartia_hongi_02",male,1,27,2
48,Acartia_14a,14a,a,3a,"13,14",1,,Acartia danae,A.  danae,"Acartia (Acartia) danae (Giesbrecht, 1889)",Acartia,Acartia,Acartiidae,danae,"In both sexes, posterolateral corners of prosome extended forming a triangular process. In female, leg 5 basis: outer seta 3 times as long as exopod. In male, leg 5: basis of both legs with a pointed process at middle of inner margin","<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Acartia_14a"">14a</mark>&nbsp;(<a href=""#key_Acartia_3a"">3a</a>)&nbsp;In both sexes, posterolateral corners of prosome extended forming a triangular process. In female, leg 5 basis: outer seta 3 times as long as exopod. In male, leg 5: basis of both legs with a pointed process at middle of inner margin</span><span class=""keycol""><mark id=""taxon_Acartia_danae_male""><em><a href=""#figs_Acartia_danae"">Acartia danae</a></em></mark></span></p></div>","Acartia_danae_01,Acartia_danae_02",female/male,1,28,2
49,Acartia_14b,14b,b,,"15,16",1,,Acartia negligens,A.  negligens,"Acartia (Acartia) negligens (Dana, 1849)",Acartia,Acartia,Acartiidae,negligens,"In both sexes, posterolateral corners of prosome bearing small spine. In female, leg 5 basis, outer seta 5 times as long as exopod. In male, leg 5: basis of both legs not forming a pointed process at middle of inner margin","<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_14b"">14b</mark>&nbsp;In both sexes, posterolateral corners of prosome bearing small spine. In female, leg 5 basis, outer seta 5 times as long as exopod. In male, leg 5: basis of both legs not forming a pointed process at middle of inner margin</span><span class=""keycol""><mark id=""taxon_Acartia_negligens""><em><a href=""#figs_Acartia_negligens"">Acartia negligens</a></em></mark></span></p></div>","Acartia_negligens_01,Acartia_negligens_02",female/male,1,29,2
51,Acartia_15a,15a,a,3b,,0,16,,,,,Acartia,Acartiidae,,Female,"<div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Acartia_15a"">15a</mark>&nbsp;(<a href=""#key_Acartia_3b"">3b</a>)&nbsp;Female</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_16a"">16</a></span></p></div>",,,1,30,2
52,Acartia_15b,15b,b,,,0,22,,,,,Acartia,Acartiidae,,Male,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_15b"">15b</mark>&nbsp;Male</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_22a"">22</a></span></p></div>",,,1,31,2
54,Acartia_16a,16a,a,15a,36,1,,Acartia bispinosa,A.  bispinosa,"Acartia (Odontacartia) bispinosa (Carl, 1907)",Odontacartia,Acartia,Acartiidae,bispinosa,Antennule segment 2 with a strong spine near mid-posterior margin and bent anteriorly,"<div class=""kblk""><p class=""leader indent4""><span class=""keycol""><mark id=""key_Acartia_16a"">16a</mark>&nbsp;(<a href=""#key_Acartia_15a"">15a</a>)&nbsp;Antennule segment 2 with a strong spine near mid-posterior margin and bent anteriorly</span><span class=""keycol""><mark id=""taxon_Acartia_bispinosa""><em><a href=""#figs_Acartia_bispinosa"">Acartia bispinosa</a></em></mark></span></p></div>",Acartia_bispinosa_01,female,1,32,2
55,Acartia_16b,16b,b,,,0,17,,,,,Acartia,Acartiidae,,Antennule segment 2 without strong spine bent anteriorly,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_16b"">16b</mark>&nbsp;Antennule segment 2 without strong spine bent anteriorly</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_17a"">17</a></span></p></div>",,,1,33,2
57,Acartia_17a,17a,a,16b,,0,18,,,,,Acartia,Acartiidae,,"Leg 5, basis length less than 1.5 times width","<div class=""kblk""><p class=""leader indent4""><span class=""keycol""><mark id=""key_Acartia_17a"">17a</mark>&nbsp;(<a href=""#key_Acartia_16b"">16b</a>)&nbsp;Leg 5, basis length less than 1.5 times width</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_18a"">18</a></span></p></div>",,,1,34,2
58,Acartia_17b,17b,b,,,0,20,,,,,Acartia,Acartiidae,,"Leg 5, basis length more than 2 times width","<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_17b"">17b</mark>&nbsp;Leg 5, basis length more than 2 times width</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_20a"">20</a></span></p></div>",,,1,35,2
60,Acartia_18a,18a,a,17a,"41,42",1,,Acartia ohtsukai,A.  ohtsukai,"Acartia (Odontacartia) ohtsukai (Ueda & Bucklin, 2006)",Odontacartia,Acartia,Acartiidae,ohtsukai,Leg 5 exopod as long as lateral seta of basis,"<div class=""kblk""><p class=""leader indent4""><span class=""keycol""><mark id=""key_Acartia_18a"">18a</mark>&nbsp;(<a href=""#key_Acartia_17a"">17a</a>)&nbsp;Leg 5 exopod as long as lateral seta of basis</span><span class=""keycol""><mark id=""taxon_Acartia_ohtsukai""><em><a href=""#figs_Acartia_ohtsukai"">Acartia ohtsukai</a></em></mark></span></p></div>","Acartia_ohtsukai_01,Acartia_ohtsukai_02",female,1,36,2
61,Acartia_18b,18b,b,,,0,19,,,,,Acartia,Acartiidae,,"Leg 5 exopod shorter than lateral seta of basis (pacifica, spinicauda)","<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_18b"">18b</mark>&nbsp;Leg 5 exopod shorter than lateral seta of basis (pacifica, spinicauda)</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_19a"">19</a></span></p></div>",,,1,37,2
63,Acartia_19a,19a,a,18b,46,1,,Acartia spinicauda,A.  spinicauda,"Acartia (Odontacartia) spinicauda (Giesbrecht, 1889)",Odontacartia,Acartia,Acartiidae,spinicauda,Genital double-somite: width nearly as long as length,"<div class=""kblk""><p class=""leader indent4""><span class=""keycol""><mark id=""key_Acartia_19a"">19a</mark>&nbsp;(<a href=""#key_Acartia_18b"">18b</a>)&nbsp;Genital double-somite: width nearly as long as length</span><span class=""keycol""><mark id=""taxon_Acartia_spinicauda""><em><a href=""#figs_Acartia_spinicauda"">Acartia spinicauda</a></em></mark></span></p></div>",Acartia_spinicauda_02,female,1,38,2
64,Acartia_19b,19b,b,,"43,44",1,,Acartia pacifica,A.  pacifica,"Acartia (Odontacartia) pacifica (Steuer, 1915)",Odontacartia,Acartia,Acartiidae,pacifica,Genital double-somite: width about 0.6 times as long as length,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_19b"">19b</mark>&nbsp;Genital double-somite: width about 0.6 times as long as length</span><span class=""keycol""><mark id=""taxon_Acartia_pacifica_female""><em><a href=""#figs_Acartia_pacifica"">Acartia pacifica</a></em></mark></span></p></div>","Acartia_pacifica_01,Acartia_pacifica_02",female,1,39,2
66,Acartia_20a,20a,a,17b,34,1,,Acartia amboinensis,A.  amboinensis,"Acartia (Odontacartia) amboinensis (Carl, 1907)",Odontacartia,Acartia,Acartiidae,amboinensis,"Leg 5: exopod directed inward, nearly straight. Genital double-somite longer than wide","<div class=""kblk""><p class=""leader indent4""><span class=""keycol""><mark id=""key_Acartia_20a"">20a</mark>&nbsp;(<a href=""#key_Acartia_17b"">17b</a>)&nbsp;Leg 5: exopod directed inward, nearly straight. Genital double-somite longer than wide</span><span class=""keycol""><mark id=""taxon_Acartia_amboinensis_female""><em><a href=""#figs_Acartia_amboinensis"">Acartia amboinensis</a></em></mark></span></p></div>",Acartia_amboinensis_01,female,1,40,2
67,Acartia_20b,20b,b,,,0,21,,,,,Acartia,Acartiidae,,Leg 5: exopod directed inward and bent. Genital double-somite length subequal to width,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_20b"">20b</mark>&nbsp;Leg 5: exopod directed inward and bent. Genital double-somite length subequal to width</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_21a"">21</a></span></p></div>",,,1,41,2
69,Acartia_21a,21a,a,20b,"",1,,Acartia japonica,A.  japonica,"Acartia (Odontacartia) japonica (Mori, 1940)",Odontacartia,Acartia,Acartiidae,japonica,Genital double-somite nearly as long as wide. Dorsal posterior margin of usosomite 2 with a row of 8-12 spinules,"<div class=""kblk""><p class=""leader indent4""><span class=""keycol""><mark id=""key_Acartia_21a"">21a</mark>&nbsp;(<a href=""#key_Acartia_20b"">20b</a>)&nbsp;Genital double-somite nearly as long as wide. Dorsal posterior margin of usosomite 2 with a row of 8-12 spinules</span><span class=""keycol""><mark id=""taxon_Acartia_japonica""><em><a href=""#figs_Acartia_japonica"">Acartia japonica</a></em></mark></span></p></div>","",female,1,42,2
